shape,k,Wt,A,Ixx,Sxx,rx,y_bar_x,Zx,yp_x,J,Cw,ro,Iyy,Syy,ry,x_bar_y,Zy,xp_y,Izz,Szz,rz,tan_a,Qs
L8X8X1 1/8,1.75,56.9,16.7,98.1,17.5,2.41,2.40,31.6,1.05,7.13,32.5,4.29,98.1,17.5,2.41,2.40,31.6,1.05,40.9,7.23,1.56,1.00,1.00
L8X8X1,1.625,51.0,15.0,89.1,15.8,2.43,2.36,28.5,0.943,5.08,23.4,4.32,89.1,15.8,2.43,2.36,28.5,0.943,36.8,6.51,1.56,1.00,1.00
L8X8X7/8,1.5,45.0,13.2,79.7,14.0,2.45,2.31,25.3,0.832,3.46,16.1,4.36,79.7,14.0,2.45,2.31,25.3,0.832,32.7,5.78,1.57,1.00,1.00
L8X8X3/4,1.375,38.9,11.4,69.9,12.2,2.46,2.26,22.0,0.720,2.21,10.4,4.39,69.9,12.2,2.46,2.26,22.0,0.720,28.5,5.04,1.57,1.00,1.00
L8X8X5/8,1.25,32.7,9.61,59.6,10.3,2.48,2.21,18.6,0.606,1.30,6.16,4.42,59.6,10.3,2.48,2.21,18.6,0.606,24.2,4.27,1.58,1.00,0.997
L8X8X9/16,1.5625,29.6,8.68,54.2,9.33,2.49,2.19,16.8,0.548,0.961,4.55,4.42,54.2,9.33,2.49,2.19,16.8,0.548,22.0,3.88,1.58,1.00,0.959
L8X8X1/2,1.125,26.4,7.75,48.8,8.36,2.49,2.17,15.1,0.490,0.683,3.23,4.45,48.8,8.36,2.49,2.17,15.1,0.490,19.7,3.49,1.59,1.00,0.912
L8X6X1,1.5,44.2,13.0,80.9,15.1,2.49,2.65,27.3,1.47,4.34,16.3,3.88,38.8,8.92,1.72,1.65,16.2,0.816,21.3,4.84,1.28,0.542,1.00
L8X6X7/8,1.375,39.1,11.5,72.4,13.4,2.50,2.60,24.3,1.41,2.96,11.3,3.92,34.9,7.94,1.74,1.60,14.4,0.721,18.9,4.31,1.28,0.546,1.00
L8X6X3/4,1.25,33.8,9.94,63.5,11.7,2.52,2.55,21.1,1.34,1.90,7.28,3.95,30.8,6.92,1.75,1.56,12.5,0.624,16.5,3.78,1.29,0.550,1.00
L8X6X5/8,1.125,28.5,8.36,54.2,9.86,2.54,2.50,17.9,1.27,1.12,4.33,3.98,26.4,5.88,1.77,1.51,10.5,0.526,14.1,3.22,1.29,0.554,0.997
L8X6X9/16,1.0625,25.7,7.56,49.4,8.94,2.55,2.48,16.2,1.23,0.823,3.20,3.99,24.1,5.34,1.78,1.49,9.52,0.476,12.8,2.94,1.30,0.556,0.959
L8X6X1/2,1.0,23.0,6.75,44.4,8.01,2.55,2.46,14.6,1.20,0.584,2.28,4.01,21.7,4.79,1.79,1.46,8.52,0.425,11.5,2.64,1.30,0.557,0.912
L8X6X7/16,0.9375,20.2,5.93,39.3,7.06,2.56,2.43,12.9,1.16,0.396,1.55,4.02,19.3,4.23,1.80,1.44,7.50,0.374,10.2,2.35,1.31,0.559,0.850
